review_id,book_id,user_name,review_text,rating,timestamp
1,12349663,derp,"Oh no, COVID-19 has hit New Zealand",4,2020-02-28 14:31:26
2,12349665,derp,"Yeah Freddie, bad news",5,2020-02-28 14:39:51
3,12349665,fmercury,I hope it's not as bad here as Italy!,3,2020-02-29 08:12:08
4,17183712,Sultrekovamarin,4.5 stars loved it! Review to follow.,4,1992-07-09 16:56:23
5,25515988,aglecavalier333,The Memory Chair by Susan White is short emotional novel with lots of deep characters and a little magic. Narrated from thirteen-year-old Betony's point of view the story begins with Betony telling the reader how going to her great-grandmother is a sort of punishment she has to endure until one day she sits on her grandmother's large brown chair. "It was always the smell that hit me when I walked into the back porch of Gram's house. It was an overpowering smell musty and stale a smell that hung heavy in the air of the small cluttered windowless room." Betony gets a vivid dream of a family that resembles her own but decades before she is born. She is surprised by this dream and tries the chair during a second visit. She soon realises that these aren't dreams but are in fact memories of her great-grandmother when she was very young. The memories unfold a strange secret of a man - or young boy - called Warren whom nobody speaks of or seems to remember. Betony is intrigued and keeps trying the chair to discover more about her great-grandmother and this Warren person. "The memory of that day was Gram's. How did it become mine?" The memories also kindle a connection between Betony and her great-grandmother Ida bringing them closer. Betony also discovers the art of quilting and her great-grandmother previously portrayed as a scary old hag gets excited about it. "In just a week I had gone from totally dreading spending any time with Gram to the point where I eagerly rushed back into the living room so that I could hear more of what she had to tell me." One of the things I truly liked about The Memory Chair is the character development not only for the protagonist Betony but for her entire family. I like how the author made both young and old characters develop. My only objection was that there were a lot of characters and names and that often got confused. I felt like I needed a family tree. The novel is narrated by Betony but goes back to when her great-grandmother was a child which makes the novel span four generations *- all still living. Also Betony calls her great-grandmother "Gram" and her grandparents "Grampie" and "Grammie" so it gets a bit confusing at first or when they are all in the same room. "Gram is my Grampie's mother my mom's grandmother and my great-grandmother." - I had to read this sentence a couple of times to let it sink in. The pace is good neither too quick nor too slow. There isn't significant "action" but the shifts and progress are nicely done. I think it's a middle grade book but I'd definitely recommend it for all ages. "Each memory I had seen had brought me closer to Gram and now I cared about her in a way I had never imagined possible." The Memory Chair brought me to tears and I liked Betony's narration. Although there isn't a lot of imagery the book has many memorable quotes. "The way I see it Grampie being a family is like sewing this quilt together...Each little piece starts out separate. You choose two pieces to put together and keep adding to make on side of the first section. Then the second part comes together then the third then the fourth. Then you sew them around the middle piece and then you join them to another similar section. You start to see the connecting rings. Each little piece becomes part of the whole thing before it becomes a quilt." Note: I received a free copy of The Memory Chair by Susan White in exchange for an honest review and as part of a blog tour with Worldwind Virtual Book Tours.,4,1998-05-14 04:24:06
6,15710450,vikylka9696,This is a powerful story that teaches the lesson that following your dreams and ignoring your critics may be the key to happiness. Henri was certainly happy while making his paintings and he certainly had many critics to ignore during his time. Like many artists he was not appreciated until after he had died but HE appreciated his paintings while he lived and this is a fantastic and inspiring book. The art is very Rousseau-like and wonderful.,1,1965-03-28 14:32:21
7,32732823,scrboy,Great book I highly recommend this book. Great storyline and great characters. I look forward to the next book. I loved it.,2,1993-12-27 09:48:46
8,2093969,mhaiyerlin6390,The Thirteen Clocks was a complete surprise. I was totally unprepared for the humor charm and quirkiness of this unconventional fairy tale. All the usual elements are there beautiful princess evil duke handsome prince magician advisors and supporting characters. None of them act in the expected manner they say strange things and behave even more strangely. I read it aloud to my daughter and I really think that it is a book that must be read aloud. She was often bemused by the dialogue but she liked it. Completely entertaining and not to be missed.,3,1957-08-05 05:02:31
9,10018414,killer26794,Short and to the point. Does not gloss over Reagan's faults nor downplay his accomplishments. If you want to read just one biography of Ronald Reagan and don't have much time this is a good way to go.,2,2009-05-13 09:36:08
10,18488643,beslangeroy,*copy provided by author in exchange for a honest review* Desire is the first book in the Seductor series. In this steamy erotica tale Jade is a seductor. She seduces powerful and rich men for things like; blue prints plans pictures whatever the job entails. Her job has always come easy. She's by nature a seductress. She seduces gets what she needs and the job is one that was until Oliver. Oliver is a billionaire with a powerful job. He's everything Jade needs and shouldn't have. This should've been an easy job for Jade but something about the way he does her body and her mind turns the "seductor" into the "seductee". Wilde is heavy on the steam in this first book. There is no "sexual stone" left unturned. The main character is a seductor after all. The writing was pretty well done. There were no messy hook ups or unbelievable clumsy rendezvous'. There's little world building but I think its done intentionally for the purpose of suspense and build up as this is just book one in what is to be a series. The characters are likable and the story is easy to read. There is a sort of cliffhanger at the end but nothing too drastic. It leaves you more curious than frustrated. I'm intrigued to see how the story plays out. Romance and erotica readers will enjoy this ride and be pretty eager for the next.,5,1953-06-21 02:45:44
11,18338465,golosinor,I cried and laugh with this story. It is an excellent story!!!!!!!!!!!!!!!!!!!!!!!!!!,3,1962-10-26 22:30:17
